Level_Code,University,City,Country,Course,Faculty,Int_Fees,Local_Fees,Currency,Currency_Time,Duration,Duration_Time,Full_Time,Part_Time,Prerequisite_1,Prequisite_1_grade,Website,Course_Lang,Availability,Study_Mode,Description,Int_Description,Career_Outcomes,Mode_of_Study,Study_Type,Online,Offline,Course_Level
DPG,Australian Catholic University,Ballarat,Australia,Doctor of Education (EdD),Education,25736.00,,AUD,Year,3.0,Years,Yes,Yes,"A master degree in education (or equivalent), with a credit average or higher",,https://courses.acu.edu.au/research/doctor_of_philosophy,English,A,2,"The Doctor of Philosophy (PhD) is awarded for high-level research and, as such, it is expected that candidates will make a contribution to knowledge in their chosen field. A PhD may be undertaken by three different means: Further detailed information regarding requirements for the submission of a PhD may be located in the Guidelines on the Preparation and Presentation of a Higher Degree Research Thesis for Examination.",The degree of Doctor of Philosophy is available in all Faculties of the University and is awarded without classification on the basis of examination of a major thesis. The requirements for the degree shall be completed by submission of a thesis which demonstrates that the candidate has made a substantial contribution to learning and appreciates and understands the relationship of the candidate’s own investigations to a wider field of knowledge.,Graduates may work in management positions in public and private educational agencies and associations or in leadership roles in a range of educational settings.,Full Time / Part Time,Online,Yes,Yes,Doctor
DPG,Australian Catholic University,Brisbane,Australia,Doctor of Education (EdD),Education,25736.00,,AUD,Year,3.0,Years,Yes,Yes,"A master degree in education (or equivalent), with a credit average or higher",,https://courses.acu.edu.au/research/doctor_of_philosophy,English,A,2,"The Doctor of Philosophy (PhD) is awarded for high-level research and, as such, it is expected that candidates will make a contribution to knowledge in their chosen field. A PhD may be undertaken by three different means: Further detailed information regarding requirements for the submission of a PhD may be located in the Guidelines on the Preparation and Presentation of a Higher Degree Research Thesis for Examination.",The degree of Doctor of Philosophy is available in all Faculties of the University and is awarded without classification on the basis of examination of a major thesis. The requirements for the degree shall be completed by submission of a thesis which demonstrates that the candidate has made a substantial contribution to learning and appreciates and understands the relationship of the candidate’s own investigations to a wider field of knowledge.,Graduates may work in management positions in public and private educational agencies and associations or in leadership roles in a range of educational settings.,Full Time / Part Time,Online,Yes,Yes,Doctor
DPG,Australian Catholic University,Canberra,Australia,Doctor of Education (EdD),Education,25736.00,,AUD,Year,3.0,Years,Yes,Yes,"A master degree in education (or equivalent), with a credit average or higher",,https://courses.acu.edu.au/research/doctor_of_philosophy,English,A,2,"The Doctor of Philosophy (PhD) is awarded for high-level research and, as such, it is expected that candidates will make a contribution to knowledge in their chosen field. A PhD may be undertaken by three different means: Further detailed information regarding requirements for the submission of a PhD may be located in the Guidelines on the Preparation and Presentation of a Higher Degree Research Thesis for Examination.",The degree of Doctor of Philosophy is available in all Faculties of the University and is awarded without classification on the basis of examination of a major thesis. The requirements for the degree shall be completed by submission of a thesis which demonstrates that the candidate has made a substantial contribution to learning and appreciates and understands the relationship of the candidate’s own investigations to a wider field of knowledge.,Graduates may work in management positions in public and private educational agencies and associations or in leadership roles in a range of educational settings.,Full Time / Part Time,Online,Yes,Yes,Doctor
DPG,Australian Catholic University,Melbourne,Australia,Doctor of Education (EdD),Education,25736.00,,AUD,Year,3.0,Years,Yes,Yes,"A master degree in education (or equivalent), with a credit average or higher",,https://courses.acu.edu.au/research/doctor_of_philosophy,English,A,2,"The Doctor of Philosophy (PhD) is awarded for high-level research and, as such, it is expected that candidates will make a contribution to knowledge in their chosen field. A PhD may be undertaken by three different means: Further detailed information regarding requirements for the submission of a PhD may be located in the Guidelines on the Preparation and Presentation of a Higher Degree Research Thesis for Examination.",The degree of Doctor of Philosophy is available in all Faculties of the University and is awarded without classification on the basis of examination of a major thesis. The requirements for the degree shall be completed by submission of a thesis which demonstrates that the candidate has made a substantial contribution to learning and appreciates and understands the relationship of the candidate’s own investigations to a wider field of knowledge.,Graduates may work in management positions in public and private educational agencies and associations or in leadership roles in a range of educational settings.,Full Time / Part Time,Online,Yes,Yes,Doctor
DPG,Australian Catholic University,New South Wales,Australia,Doctor of Education (EdD),Education,25736.00,,AUD,Year,3.0,Years,Yes,Yes,"A master degree in education (or equivalent), with a credit average or higher",,https://courses.acu.edu.au/research/doctor_of_philosophy,English,A,2,"The Doctor of Philosophy (PhD) is awarded for high-level research and, as such, it is expected that candidates will make a contribution to knowledge in their chosen field. A PhD may be undertaken by three different means: Further detailed information regarding requirements for the submission of a PhD may be located in the Guidelines on the Preparation and Presentation of a Higher Degree Research Thesis for Examination.",The degree of Doctor of Philosophy is available in all Faculties of the University and is awarded without classification on the basis of examination of a major thesis. The requirements for the degree shall be completed by submission of a thesis which demonstrates that the candidate has made a substantial contribution to learning and appreciates and understands the relationship of the candidate’s own investigations to a wider field of knowledge.,Graduates may work in management positions in public and private educational agencies and associations or in leadership roles in a range of educational settings.,Full Time / Part Time,Online,Yes,Yes,Doctor
DPG,Australian Catholic University,North Sydney,Australia,Doctor of Education (EdD),Education,25736.00,,AUD,Year,3.0,Years,Yes,Yes,"A master degree in education (or equivalent), with a credit average or higher",,https://courses.acu.edu.au/research/doctor_of_philosophy,English,A,2,"The Doctor of Philosophy (PhD) is awarded for high-level research and, as such, it is expected that candidates will make a contribution to knowledge in their chosen field. A PhD may be undertaken by three different means: Further detailed information regarding requirements for the submission of a PhD may be located in the Guidelines on the Preparation and Presentation of a Higher Degree Research Thesis for Examination.",The degree of Doctor of Philosophy is available in all Faculties of the University and is awarded without classification on the basis of examination of a major thesis. The requirements for the degree shall be completed by submission of a thesis which demonstrates that the candidate has made a substantial contribution to learning and appreciates and understands the relationship of the candidate’s own investigations to a wider field of knowledge.,Graduates may work in management positions in public and private educational agencies and associations or in leadership roles in a range of educational settings.,Full Time / Part Time,Online,Yes,Yes,Doctor
DPG,Australian Catholic University,Ballarat,Australia,Doctor of Education (EdD),Education,25736.00,,AUD,Year,2.0,Years,Yes,Yes,an appropriate undergraduate degree with Honours at a minimum level of Second Class Division A (Distinction average) or equivalent,,https://courses.acu.edu.au/research/master_of_philosophy,English,A,2,"The Master of Philosophy (MPhil) is a two year full-time (or part-time equivalent) research degree in a field covered by the University, including theology and philosophy, nursing and midwifery, education, business or arts and sciences. It is assessed on the basis of a written thesis which is submitted at the conclusion of the degree.","The degree of Master of Philosophy is available in all Faculties of the University and is awarded without classification on the basis of examination of a major thesis. The requirements for the degree shall be completed by submission of a thesis, which demonstrates the ability of a candidate to conduct a research program, a command of the knowledge and skills pertinent to the area of investigation, and a critical appreciation and understanding of the relationship of the candidates work to the work of others within the subject area according to the literature.",Graduates may work in management positions in public and private educational agencies and associations or in leadership roles in a range of educational settings.,Full Time / Part Time,Online,Yes,Yes,Doctor
DPG,Australian Catholic University,Brisbane,Australia,Doctor of Education (EdD),Education,25736.00,,AUD,Year,2.0,Years,Yes,Yes,an appropriate undergraduate degree with Honours at a minimum level of Second Class Division A (Distinction average) or equivalent,,https://courses.acu.edu.au/research/master_of_philosophy,English,A,2,"The Master of Philosophy (MPhil) is a two year full-time (or part-time equivalent) research degree in a field covered by the University, including theology and philosophy, nursing and midwifery, education, business or arts and sciences. It is assessed on the basis of a written thesis which is submitted at the conclusion of the degree.","The degree of Master of Philosophy is available in all Faculties of the University and is awarded without classification on the basis of examination of a major thesis. The requirements for the degree shall be completed by submission of a thesis, which demonstrates the ability of a candidate to conduct a research program, a command of the knowledge and skills pertinent to the area of investigation, and a critical appreciation and understanding of the relationship of the candidates work to the work of others within the subject area according to the literature.",Graduates may work in management positions in public and private educational agencies and associations or in leadership roles in a range of educational settings.,Full Time / Part Time,Online,Yes,Yes,Doctor
DPG,Australian Catholic University,Canberra,Australia,Doctor of Education (EdD),Education,25736.00,,AUD,Year,2.0,Years,Yes,Yes,an appropriate undergraduate degree with Honours at a minimum level of Second Class Division A (Distinction average) or equivalent,,https://courses.acu.edu.au/research/master_of_philosophy,English,A,2,"The Master of Philosophy (MPhil) is a two year full-time (or part-time equivalent) research degree in a field covered by the University, including theology and philosophy, nursing and midwifery, education, business or arts and sciences. It is assessed on the basis of a written thesis which is submitted at the conclusion of the degree.","The degree of Master of Philosophy is available in all Faculties of the University and is awarded without classification on the basis of examination of a major thesis. The requirements for the degree shall be completed by submission of a thesis, which demonstrates the ability of a candidate to conduct a research program, a command of the knowledge and skills pertinent to the area of investigation, and a critical appreciation and understanding of the relationship of the candidates work to the work of others within the subject area according to the literature.",Graduates may work in management positions in public and private educational agencies and associations or in leadership roles in a range of educational settings.,Full Time / Part Time,Online,Yes,Yes,Doctor
DPG,Australian Catholic University,Melbourne,Australia,Doctor of Education (EdD),Education,25736.00,,AUD,Year,2.0,Years,Yes,Yes,an appropriate undergraduate degree with Honours at a minimum level of Second Class Division A (Distinction average) or equivalent,,https://courses.acu.edu.au/research/master_of_philosophy,English,A,2,"The Master of Philosophy (MPhil) is a two year full-time (or part-time equivalent) research degree in a field covered by the University, including theology and philosophy, nursing and midwifery, education, business or arts and sciences. It is assessed on the basis of a written thesis which is submitted at the conclusion of the degree.","The degree of Master of Philosophy is available in all Faculties of the University and is awarded without classification on the basis of examination of a major thesis. The requirements for the degree shall be completed by submission of a thesis, which demonstrates the ability of a candidate to conduct a research program, a command of the knowledge and skills pertinent to the area of investigation, and a critical appreciation and understanding of the relationship of the candidates work to the work of others within the subject area according to the literature.",Graduates may work in management positions in public and private educational agencies and associations or in leadership roles in a range of educational settings.,Full Time / Part Time,Online,Yes,Yes,Doctor
DPG,Australian Catholic University,New South Wales,Australia,Doctor of Education (EdD),Education,25736.00,,AUD,Year,2.0,Years,Yes,Yes,an appropriate undergraduate degree with Honours at a minimum level of Second Class Division A (Distinction average) or equivalent,,https://courses.acu.edu.au/research/master_of_philosophy,English,A,2,"The Master of Philosophy (MPhil) is a two year full-time (or part-time equivalent) research degree in a field covered by the University, including theology and philosophy, nursing and midwifery, education, business or arts and sciences. It is assessed on the basis of a written thesis which is submitted at the conclusion of the degree.","The degree of Master of Philosophy is available in all Faculties of the University and is awarded without classification on the basis of examination of a major thesis. The requirements for the degree shall be completed by submission of a thesis, which demonstrates the ability of a candidate to conduct a research program, a command of the knowledge and skills pertinent to the area of investigation, and a critical appreciation and understanding of the relationship of the candidates work to the work of others within the subject area according to the literature.",Graduates may work in management positions in public and private educational agencies and associations or in leadership roles in a range of educational settings.,Full Time / Part Time,Online,Yes,Yes,Doctor
DPG,Australian Catholic University,North Sydney,Australia,Doctor of Education (EdD),Education,25736.00,,AUD,Year,2.0,Years,Yes,Yes,an appropriate undergraduate degree with Honours at a minimum level of Second Class Division A (Distinction average) or equivalent,,https://courses.acu.edu.au/research/master_of_philosophy,English,A,2,"The Master of Philosophy (MPhil) is a two year full-time (or part-time equivalent) research degree in a field covered by the University, including theology and philosophy, nursing and midwifery, education, business or arts and sciences. It is assessed on the basis of a written thesis which is submitted at the conclusion of the degree.","The degree of Master of Philosophy is available in all Faculties of the University and is awarded without classification on the basis of examination of a major thesis. The requirements for the degree shall be completed by submission of a thesis, which demonstrates the ability of a candidate to conduct a research program, a command of the knowledge and skills pertinent to the area of investigation, and a critical appreciation and understanding of the relationship of the candidates work to the work of others within the subject area according to the literature.",Graduates may work in management positions in public and private educational agencies and associations or in leadership roles in a range of educational settings.,Full Time / Part Time,Online,Yes,Yes,Doctor
DPG,Australian Catholic University,Ballarat,Australia,Doctor of Education (EdD),Education,25736.00,,AUD,Year,1.0,Year,Yes,Yes,An appropriate undergraduate degree with Honours at a minimum level of Second Class Division A (Distinction average),,https://courses.acu.edu.au/research/master_of_theology_research,English,A,1,The Master of Theology (Research) is a higher degree by research that can be undertaken either by thesis or by coursework and thesis. It provides students with substantial background in Theology and preliminary research training with the opportunity to undertake a major piece of theological research in a specialised area. Graduates will be able to demonstrate:,The Master of Theology (Research) is a higher degree by research that can be undertaken either by thesis or by coursework and thesis. It provides students with substantial background in Theology and preliminary research training with the opportunity to undertake a major piece of theological research in a specialised area.Graduates will be able to demonstrate:,Graduates may work in management positions in public and private educational agencies and associations or in leadership roles in a range of educational settings.,Full Time / Part Time,Offline,No,Yes,Doctor
DPG,Australian Catholic University,Brisbane,Australia,Doctor of Education (EdD),Education,25736.00,,AUD,Year,1.0,Year,Yes,Yes,An appropriate undergraduate degree with Honours at a minimum level of Second Class Division A (Distinction average),,https://courses.acu.edu.au/research/master_of_theology_research,English,A,1,The Master of Theology (Research) is a higher degree by research that can be undertaken either by thesis or by coursework and thesis. It provides students with substantial background in Theology and preliminary research training with the opportunity to undertake a major piece of theological research in a specialised area. Graduates will be able to demonstrate:,The Master of Theology (Research) is a higher degree by research that can be undertaken either by thesis or by coursework and thesis. It provides students with substantial background in Theology and preliminary research training with the opportunity to undertake a major piece of theological research in a specialised area.Graduates will be able to demonstrate:,Graduates may work in management positions in public and private educational agencies and associations or in leadership roles in a range of educational settings.,Full Time / Part Time,Offline,No,Yes,Doctor
DPG,Australian Catholic University,Canberra,Australia,Doctor of Education (EdD),Education,25736.00,,AUD,Year,1.0,Year,Yes,Yes,An appropriate undergraduate degree with Honours at a minimum level of Second Class Division A (Distinction average),,https://courses.acu.edu.au/research/master_of_theology_research,English,A,1,The Master of Theology (Research) is a higher degree by research that can be undertaken either by thesis or by coursework and thesis. It provides students with substantial background in Theology and preliminary research training with the opportunity to undertake a major piece of theological research in a specialised area. Graduates will be able to demonstrate:,The Master of Theology (Research) is a higher degree by research that can be undertaken either by thesis or by coursework and thesis. It provides students with substantial background in Theology and preliminary research training with the opportunity to undertake a major piece of theological research in a specialised area.Graduates will be able to demonstrate:,Graduates may work in management positions in public and private educational agencies and associations or in leadership roles in a range of educational settings.,Full Time / Part Time,Offline,No,Yes,Doctor
DPG,Australian Catholic University,Melbourne,Australia,Doctor of Education (EdD),Education,25736.00,,AUD,Year,1.0,Year,Yes,Yes,An appropriate undergraduate degree with Honours at a minimum level of Second Class Division A (Distinction average),,https://courses.acu.edu.au/research/master_of_theology_research,English,A,1,The Master of Theology (Research) is a higher degree by research that can be undertaken either by thesis or by coursework and thesis. It provides students with substantial background in Theology and preliminary research training with the opportunity to undertake a major piece of theological research in a specialised area. Graduates will be able to demonstrate:,The Master of Theology (Research) is a higher degree by research that can be undertaken either by thesis or by coursework and thesis. It provides students with substantial background in Theology and preliminary research training with the opportunity to undertake a major piece of theological research in a specialised area.Graduates will be able to demonstrate:,Graduates may work in management positions in public and private educational agencies and associations or in leadership roles in a range of educational settings.,Full Time / Part Time,Offline,No,Yes,Doctor
DPG,Australian Catholic University,New South Wales,Australia,Doctor of Education (EdD),Education,25736.00,,AUD,Year,1.0,Year,Yes,Yes,An appropriate undergraduate degree with Honours at a minimum level of Second Class Division A (Distinction average),,https://courses.acu.edu.au/research/master_of_theology_research,English,A,1,The Master of Theology (Research) is a higher degree by research that can be undertaken either by thesis or by coursework and thesis. It provides students with substantial background in Theology and preliminary research training with the opportunity to undertake a major piece of theological research in a specialised area. Graduates will be able to demonstrate:,The Master of Theology (Research) is a higher degree by research that can be undertaken either by thesis or by coursework and thesis. It provides students with substantial background in Theology and preliminary research training with the opportunity to undertake a major piece of theological research in a specialised area.Graduates will be able to demonstrate:,Graduates may work in management positions in public and private educational agencies and associations or in leadership roles in a range of educational settings.,Full Time / Part Time,Offline,No,Yes,Doctor
